Timestamp,"Power (Wm) - sid = 787470 (Incomer)"
"2018-07-01 08:52:00",1012.00
"2018-07-01 08:53:00",373.00
"2018-07-01 08:54:00",518.00
"2018-07-01 08:55:00",515.00
"2018-07-01 08:56:00",312.00
"2018-07-01 08:57:00",296.00
"2018-07-01 08:58:00",267.00
"2018-07-01 08:59:00",195.00
"2018-07-01 09:00:00",524.00
"2018-07-01 09:01:00",581.00
"2018-07-01 09:02:00",378.00
"2018-07-01 09:03:00",417.00
"2018-07-01 09:04:00",822.00
"2018-07-01 09:05:00",670.00
"2018-07-01 09:06:00",1067.00
"2018-07-01 09:07:00",639.00
"2018-07-01 09:08:00",392.00
"2018-07-01 09:09:00",1183.00
"2018-07-01 09:10:00",542.00
"2018-07-01 09:11:00",825.00
"2018-07-01 09:12:00",1919.00
"2018-07-01 09:13:00",843.00
"2018-07-01 09:14:00",1097.00
"2018-07-01 09:15:00",1058.00
"2018-07-01 09:16:00",689.00
"2018-07-01 09:17:00",670.00
"2018-07-01 09:18:00",686.00
"2018-07-01 09:19:00",694.00
"2018-07-01 09:20:00",711.00
"2018-07-01 09:21:00",709.00
"2018-07-01 09:22:00",1410.00
"2018-07-01 09:23:00",713.00
"2018-07-01 09:24:00",975.00
"2018-07-01 09:25:00",1194.00
"2018-07-01 09:26:00",1208.00
"2018-07-01 09:27:00",735.00
"2018-07-01 09:28:00",721.00
"2018-07-01 09:29:00",2779.00
"2018-07-01 09:30:00",4051.00
"2018-07-01 09:31:00",3407.00
"2018-07-01 09:32:00",1904.00
"2018-07-01 09:33:00",927.00
"2018-07-01 09:34:00",839.00
"2018-07-01 09:35:00",823.00
"2018-07-01 09:36:00",797.00
"2018-07-01 09:37:00",860.00
"2018-07-01 09:38:00",925.00
"2018-07-01 09:39:00",1559.00
"2018-07-01 09:40:00",1297.00
"2018-07-01 09:41:00",2239.00
"2018-07-01 09:42:00",1674.00
"2018-07-01 09:43:00",1396.00
"2018-07-01 09:44:00",1403.00
