Last Updated,PV1 Current (A),PV2 Current (A),PV1 Voltage (V),PV2 Voltage (V),Output Current (A),Network Voltage (V),Power Now (W),Exported Power (W),PV1 Input Power (W),PV2 Input Power (W),FAC1 (HZ),Exported energy (kWh),Grid Consumption (kWh),Today's Energy (kWh),Total Energy (kWh)
2018/7/1 15:45:29,0,2.4,0,234.7,2.5,241.8,551,0,0,580,49.93,0,0,7,1233
2018/7/1 15:50:29,0,3.4,0,231.5,3.3,241.4,758,0,0,796,49.93,0,0,7,1233.1
2018/7/1 15:55:29,0,2.8,0,236.5,2.9,240.8,652,0,0,684,49.91,0,0,7.1,1233.1
2018/7/1 16:00:29,0,8.2,0,228.6,7.4,242.8,1788,0,0,1889,50.01,0,0,7.2,1233.3
2018/7/1 16:05:30,0,2.6,0,238.3,2.6,240.8,595,0,0,626,49.98,0,0,7.3,1233.4
2018/7/1 16:10:30,0,7.8,0,230.3,7.2,239.9,1713,0,0,1811,50,0,0,7.4,1233.5
2018/7/1 16:15:30,0,8.1,0,229.4,7.3,243.7,1771,0,0,1871,50.01,0,0,7.5,1233.6
2018/7/1 16:20:30,0,4.7,0,237.8,4.6,239.7,1077,0,0,1136,50.01,0,0,7.7,1233.7
2018/7/1 16:25:30,0,6.9,0,232.6,6.3,240.8,1506,0,0,1598,50.03,0,0,7.8,1233.8
2018/7/1 16:30:32,0,6.5,0,231,6,240.4,1431,0,0,1518,50.04,0,0,7.9,1233.9
2018/7/1 16:35:30,0,5.9,0,234.2,5.6,238,1322,0,0,1392,49.99,0,0,8,1234
2018/7/1 16:40:30,0,3,0,246.4,3.1,239.9,715,0,0,741,50,0,0,8.1,1234.1
2018/7/1 16:45:30,0,2.8,0,225.5,2.7,239.9,610,0,0,647,49.99,0,0,8.1,1234.1
2018/7/1 16:50:30,0,1.5,0,225.2,1.7,240,334,0,0,350,49.97,0,0,8.2,1234.2
2018/7/1 16:55:30,0,3.7,0,233.8,3.6,239.8,839,0,0,884,49.97,0,0,8.2,1234.3
2018/7/1 17:00:30,0,1.3,0,235.9,1.5,238.9,300,0,0,319,49.98,0,0,8.3,1234.3
2018/7/1 17:05:30,0,1.3,0,236,1.5,240.1,295,0,0,314,49.99,0,0,8.3,1234.3
2018/7/1 17:10:30,0,1.4,0,239.9,1.6,240,320,0,0,341,50,0,0,8.3,1234.3
2018/7/1 17:15:30,0,1.4,0,245.2,1.6,240.2,329,0,0,349,50,0,0,8.4,1234.4
2018/7/1 17:20:30,0,1.4,0,247.7,1.6,243,335,0,0,353,50.01,0,0,8.4,1234.4
2018/7/1 17:25:30,0,1.5,0,237.3,1.7,243.5,341,0,0,360,50.03,0,0,8.4,1234.4
2018/7/1 17:30:31,0,1.2,0,249.8,1.5,242.6,299,0,0,316,50.02,0,0,8.5,1234.5
